name,lat,lon,pred_day_1,pred_day_2,pred_day_3,pred_day_4,pred_day_5,pred_day_6,pred_day_7
Grid,33.45454545454545,68.0,0.2524201571941376,0.0,0.13348088,0.10417014,0.11849187,0.16242705,0.19328848
Grid,33.45454545454545,70.63636363636364,0.22101938724517822,0.0,0.14205247,0.117548704,0.12813874,0.16554214,0.19328848
Grid,33.45454545454545,73.27272727272727,0.4101391136646271,0.18524602055549622,0.14219284,0.117621794,0.12819417,0.1655779,0.19328848
Grid,33.45454545454545,75.9090909090909,3.0364303588867188,0.0,0.14195263,0.11749789,0.1280997,0.16551599,0.19328848
Grid,33.45454545454545,78.54545454545455,2.2988486289978027,0.07096327841281891,0.13042942,0.13530567,0.14506571,0.17275035,0.19328848
Grid,33.45454545454545,81.18181818181819,0.0,0.13928160071372986,0.18012345,0.18797703,0.18769987,0.19194037,0.19328848
Grid,33.45454545454545,83.81818181818181,1.7775042057037354,0.7062739729881287,0.42422497,0.2896825,0.22371478,0.1983796,0.19328848
Grid,33.45454545454545,86.45454545454545,12.387432098388672,0.0,1.4415598,0.6871953,0.5575943,0.40156776,0.19328848
Grid,33.45454545454545,89.0909090909091,12.601250648498535,0.0,0.9958116,0.35083616,0.25932378,0.2100455,0.19328848
Grid,33.45454545454545,91.72727272727272,1.3394451141357422,0.6894364356994629,0.27092934,0.2685468,0.21192357,0.19483589,0.19328848
Grid,33.45454545454545,94.36363636363636,0.0,0.40085017681121826,0.32315433,0.24926662,0.2071181,0.1937142,0.19328848
Grid,33.45454545454545,97.0,5.067067623138428,0.12438856065273285,0.57502615,0.3125664,0.23341112,0.20194508,0.19328848
Grid,36.0,68.0,0.2733224630355835,0.1879311352968216,0.17074518,0.18029466,0.19320846,0.16376771,0.19328848
Grid,36.0,70.63636363636364,0.2650400996208191,0.19889146089553833,0.17815746,0.18335447,0.19177943,0.19020416,0.19328848
Grid,36.0,73.27272727272727,13.378339767456055,0.0,0.1419735,0.1175078,0.12810893,0.16552284,0.19328848
Grid,36.0,75.9090909090909,0.3217247724533081,0.18227234482765198,0.16866289,0.17677262,0.19034907,0.18871948,0.19328848
Grid,36.0,78.54545454545455,1.460179328918457,0.7651205062866211,0.6605327,0.5217355,0.19633465,0.19242592,0.19328848
Grid,36.0,81.18181818181819,0.08422255516052246,0.8310025930404663,0.37608266,0.24157219,0.2025532,0.19317992,0.19328848
